 num     #instances         #bytes  class name (module)
 245:           183           8784  org.springframework.core.annotation.TypeMappedAnnotations
 246:           472           8592  [Ljava.lang.annotation.Annotation; (java.base@17.0.13)
 247:           134           8576  java.lang.module.ModuleDescriptor (java.base@17.0.13)
 248:           262           8384  sun.security.util.KnownOIDs (java.base@17.0.13)
 249:           516           8256  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.13)
 250:            30           8160  [Lcom.dynatrace.agent.states.SensorState;
 251:           203           8120  java.security.ProtectionDomain (java.base@17.0.13)
 252:           334           8016  java.util.Date (java.base@17.0.13)
 253:           328           7872  org.apache.kafka.common.protocol.types.CompactArrayOf
 254:           324           7864  [Ljava.lang.reflect.TypeVariable; (java.base@17.0.13)
 255:           245           7840  sun.reflect.generics.tree.MethodTypeSignature (java.base@17.0.13)
 256:           325           7800  org.apache.kafka.common.protocol.types.ArrayOf
 257:           483           7728  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@17.0.13)
 258:           476           7616  java.util.concurrent.atomic.AtomicReference (java.base@17.0.13)
 259:           237           7584  org.springframework.boot.context.properties.source.ConfigurationProperty
 260:           312           7488  com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$WeightedValue
 261:           133           7448  java.io.FileCleanable (java.base@17.0.13)
 262:           132           7392  jdk.internal.module.ModuleReferenceImpl (java.base@17.0.13)
 263:           184           7360  java.io.FileDescriptor (java.base@17.0.13)
 264:           131           7336  java.util.jar.JarFile (java.base@17.0.13)
 265:            51           7224  [Ljava.lang.ClassValue$Entry; (java.base@17.0.13)
 266:            63           7216  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17.0.13)
 267:           223           7136  java.net.InetAddress$InetAddressHolder (java.base@17.0.13)
 268:           294           7056  java.util.concurrent.ConcurrentLinkedQueue$Node (java.base@17.0.13)
 269:            88           7040  jdk.internal.reflect.DelegatingClassLoader (java.base@17.0.13)
 270:           283           7000  [Lcom.fasterxml.jackson.databind.JavaType;
 271:           218           6976  io.netty.util.AsciiString
 272:           290           6960  java.util.Collections$SetFromMap (java.base@17.0.13)
 273:           434           6944  org.apache.kafka.common.protocol.types.TaggedFields
 274:           288           6912  java.util.ImmutableCollections$SetN (java.base@17.0.13)
 275:           171           6840  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
 276:           212           6784  jdk.internal.reflect.UnsafeStaticBooleanFieldAccessorImpl (java.base@17.0.13)
 277:           211           6752  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.13)
 278:           208           6656  java.util.zip.ZipFile$CleanableResource (java.base@17.0.13)
 279:           160           6400  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@17.0.13)
 280:           159           6360  java.lang.invoke.DirectMethodHandle$Special (java.base@17.0.13)
 281:           262           6288  java.util.concurrent.ConcurrentLinkedQueue (java.base@17.0.13)
 282:           262           6288  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@17.0.13)
 283:           131           6288  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.13)
 284:           257           6168  javax.management.ImmutableDescriptor (java.management@17.0.13)
 285:           154           6160  java.lang.invoke.DirectMethodHandle$Interface (java.base@17.0.13)
 286:           192           6144  java.util.logging.LogManager$LogNode (java.logging@17.0.13)
 287:           245           6072  [Lsun.reflect.generics.tree.TypeSignature; (java.base@17.0.13)
 288:            42           6048  [Lcom.fasterxml.jackson.core.sym.CharsToNameCanonicalizer$Bucket;
 289:           149           5960  io.netty.buffer.PoolThreadCache$MemoryRegionCache$Entry
 290:           124           5952  org.apache.kafka.common.utils.ExponentialBackoff
 291:           248           5952  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 292:           148           5920  java.lang.WeakPairMap$Pair$Weak (java.base@17.0.13)
 293:           185           5920  java.util.Collections$SynchronizedMap (java.base@17.0.13)
 294:           181           5792  java.io.File (java.base@17.0.13)
 295:           241           5784  java.security.Provider$UString (java.base@17.0.13)
 296:           241           5784  org.springframework.boot.origin.PropertySourceOrigin
 297:           120           5760  io.netty.buffer.PoolChunkList
 298:           180           5760  org.springframework.http.MediaType
 299:           120           5760  sun.security.rsa.RSAPublicKeyImpl (java.base@17.0.13)
 300:           178           5696  com.dynatrace.agent.measures.jmx.MBeanSubscription
 301:           178           5696  com.dynatrace.agent.measures.jmx.ObjectNameQuery
 302:            77           5544  sun.net.www.protocol.jar.URLJarFile (java.base@17.0.13)
 303:           230           5520  sun.reflect.generics.scope.MethodScope (java.base@17.0.13)
 304:           343           5488  java.util.HashMap$KeySet (java.base@17.0.13)
 305:            98           5488  java.util.logging.Logger (java.logging@17.0.13)
 306:           340           5440  jdk.proxy2.$Proxy52 (jdk.proxy2)
 307:           170           5440  org.springframework.core.type.StandardAnnotationMetadata
 308:           336           5376  java.util.concurrent.atomic.AtomicLongArray (java.base@17.0.13)
 309:            82           5248  com.fasterxml.jackson.databind.cfg.BaseSettings
 310:           328           5248  sun.reflect.generics.tree.TypeVariableSignature (java.base@17.0.13)
 311:             8           5184  org.apache.kafka.streams.processor.internals.StreamThread
 312:           161           5152  sun.security.pkcs11.SunPKCS11$Descriptor (jdk.crypto.cryptoki@17.0.13)
 313:           161           5152  sun.security.x509.BasicConstraintsExtension (java.base@17.0.13)
 314:           160           5120  sun.security.x509.SubjectKeyIdentifierExtension (java.base@17.0.13)
 315:           212           5088  com.dynatrace.agent.config.wiring.ReflectiveFieldWiring$BooleanFieldHandler
 316:           212           5088  java.util.regex.Pattern$$Lambda$6/0x000000010001d600 (java.base@17.0.13)
 317:           106           5088  org.apache.tomcat.util.buf.ByteChunk
 318:            21           5072  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName;
 319:           158           5056  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@17.0.13)
 320:           158           5056  sun.security.x509.KeyUsageExtension (java.base@17.0.13)
 321:            45           5040  org.springframework.beans.GenericTypeAwarePropertyDescriptor
 322:            45           5040  sun.nio.ch.SocketChannelImpl (java.base@17.0.13)
 323:           157           5024  org.springframework.core.io.ClassPathResource
 324:           101           4848  com.fasterxml.jackson.databind.type.SimpleType
 325:           201           4824  org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor
 326:           148           4736  java.lang.WeakPairMap$Pair$Weak$1 (java.base@17.0.13)
 327:           117           4680  java.security.AccessControlContext (java.base@17.0.13)
 328:            96           4664  [Ljava.security.ProtectionDomain; (java.base@17.0.13)
 329:           193           4632  java.net.Inet4Address (java.base@17.0.13)
 330:            96           4608  org.apache.tomcat.util.buf.CharChunk
 331:            82           4592  org.springframework.boot.context.config.ConfigDataEnvironmentContributor
 332:           142           4544  com.fasterxml.jackson.databind.type.TypeBindings
 333:            12           4512  org.apache.kafka.common.utils.KafkaThread
 334:            94           4512  org.apache.tomcat.util.buf.MessageBytes
 335:            12           4512  org.apache.tomcat.util.threads.TaskThread
 336:           187           4488  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@17.0.13)
 337:           174           4432  [Lorg.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet;
 338:           274           4384  java.util.concurrent.atomic.AtomicReferenceArray (java.base@17.0.13)
 339:           272           4352  com.fasterxml.jackson.databind.introspect.AnnotationMap
 340:            67           4288  sun.security.ssl.SSLExtension (java.base@17.0.13)
 341:           178           4272  org.springframework.boot.autoconfigure.condition.OnClassCondition
 342:            53           4240  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 343:            75           4200  com.fasterxml.jackson.databind.type.CollectionType
 344:           131           4192  java.io.RandomAccessFile (java.base@17.0.13)
 345:           131           4192  sun.nio.fs.UnixFileKey (java.base@17.0.13)
 346:           104           4160  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.13)
 347:             8           4160  org.apache.kafka.clients.consumer.internals.AbstractCoordinator$HeartbeatThread
 348:           259           4144  java.lang.Short (java.base@17.0.13)
 349:           161           4128  [Lorg.springframework.core.annotation.AnnotationTypeMapping;
 350:             1           4112  [Lio.netty.channel.epoll.NativeDatagramPacketArray$NativeDatagramPacket;
 351:           128           4096  io.netty.handler.codec.CodecOutputList
 352:           256           4096  java.lang.Byte (java.base@17.0.13)
 353:           102           4080  java.io.FilePermission (java.base@17.0.13)
 354:           169           4056  java.util.regex.Pattern$GroupHead (java.base@17.0.13)
 355:           169           4056  java.util.regex.Pattern$GroupTail (java.base@17.0.13)
